Partlist

Exported from PhantomDriver_ER150D.sch at 2020/07/16 14:41

EAGLE Version 7.4.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 80Hz 1Vo-p

Part     Value                   Device                  Package                 Library          Sheet

C1       22n                     CSMD3.2X1.6MM           CM3216                  AEL_RLC          1
C2       22n                     CSMD3.2X1.6MM           CM3216                  AEL_RLC          1
C3       3.3n                    CSMD2.0X1.2MM           CM2012                  AEL_RLC          1
C4       3.3n                    CSMD2.0X1.2MM           CM2012                  AEL_RLC          1
C5       3.3n                    CSMD2.0X1.2MM           CM2012                  AEL_RLC          1
C6       22n                     CSMD3.2X1.6MM           CM3216                  AEL_RLC          1
C7       3.3n                    CSMD2.0X1.2MM           CM2012                  AEL_RLC          1
C8       56u/10V/OS              C_POL6.3-2.5MM          PHI_6.3                 AEL_RLC          1
C9       0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          1
C10      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          1
C11      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          1
C12      10n                     CSMD2.0X1.2MM           CM2012                  AEL_RLC          1
C13      4.7u/25V                CSMD2.0X1.2MM           CM2012                  AEL_RLC          1
C14      ---                     CSMD3.2X1.6MM           CM3216                  AEL_RLC          1
C15      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          1
C16      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          1
C17      4.7n                    CSMD2.0X1.2MM           CM2012                  AEL_RLC          1
C18      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          1
C19      2.2n                    CSMD2.0X1.2MM           CM2012                  AEL_RLC          1
C20      1u/25V                  CSMD1.6X0.8MM           CM1608                  AEL_RLC          1
C21      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          1
C22      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          1
C23      56u/10V/OS              C_POL6.3-2.5MM          PHI_6.3                 AEL_RLC          1
C24      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          1
C25      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          1
C26      1u/25V                  CSMD1.6X0.8MM           CM1608                  AEL_RLC          1
C27      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          1
C28      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          2
C30      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          2
C32      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          2
C34      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          2
C36      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          2
C38      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          2
C39      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          2
C41      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          2
C42      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          4
C43      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          4
C44      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          4
C45      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          4
C46      56u/10V/OS              C_POL6.3-2.5MM          PHI_6.3                 AEL_RLC          4
C47      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          4
C48      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          4
C49      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          4
C50      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          4
C51      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          4
C52      10n                     CSMD2.0X1.2MM           CM2012                  AEL_RLC          4
C53      4.7u/25V                CSMD2.0X1.2MM           CM2012                  AEL_RLC          4
C54      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          4
C55      0.1u/16V                CSMD1.0X0.5MM           CM1005                  AEL_RLC          4
C56      10n                     CSMD2.0X1.2MM           CM2012                  AEL_RLC          4
C57      10u/25V                 CSMD3.2X1.6MM           CM3216                  AEL_RLC          4
C58      1u/25V                  CSMD1.6X0.8MM           CM1608                  AEL_RLC          4
C59      1u/25V                  CSMD1.6X0.8MM           CM1608                  AEL_RLC          4
C60      1u/25V                  CSMD1.6X0.8MM           CM1608                  AEL_RLC          4
C61      1u/25V                  CSMD1.6X0.8MM           CM1608                  AEL_RLC          4
C62      1u/25V                  CSMD1.6X0.8MM           CM1608                  AEL_RLC          4
CN1      DF11-4DP-2DSA           DF11-4DP-2DSA           DF11-4DP-2DSA           AEL_terminal     1
CN2      DF11-4DP-2DSA           DF11-4DP-2DSA           DF11-4DP-2DSA           AEL_terminal     1
CN3      DF11-4DP-2DSA           DF11-4DP-2DSA           DF11-4DP-2DSA           AEL_terminal     1
CN4      DF11-4DP-2DSA           DF11-4DP-2DSA           DF11-4DP-2DSA           AEL_terminal     1
